PowerDelta,median_ZigBee,LB_ZigBee,UB_ZigBee,median_BLE_2M,LB_BLE_2M,UB_BLE_2M,median_BLE_1M,LB_BLE_1M,UB_BLE_1M,median_BLE_500K,LB_BLE_500K,UB_BLE_500K,median_BLE_125K,LB_BLE_125K,UB_BLE_125K
-16,,,,,,,,,,,,,,,
-15,,,,100.0,,,,,,,,,,,
-14,,,,,,,100.0,,,100.0,,,100.0,,
-13,100.0,,,100.0,,,,,,100.0,,,100.0,,
-12,100.0,,,,,,,,,,,,,,
-11,100.0,,,100.0,,,95.0,,,100.0,,,100.0,,
-10,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,
-9,100.0,,,,,,,,,,,,,,
-8,100.0,100.0,100.0,,,,,,,,,,,,
-7,,,,45.0,,,32.5,,,80.0,,,100.0,,
-6,100.0,100.0,100.0,0.0,,,0.0,,,80.0,40.0,100.0,100.0,,
-5,100.0,,,0.0,0.0,0.0,0.0,,,45.0,,,100.0,,
-4,100.0,,,0.0,,,0.0,,,0.0,,,77.5,,
-3,100.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2,100.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,42.5,,
-1,100.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,55.0
0,100.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,80.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,30.0
2,32.5,,,0.0,0.0,0.0,0.0,,,0.0,,,65.0,50.0,70.0
3,80.0,,,0.0,,,0.0,,,65.0,,,77.5,,
4,100.0,,,0.0,,,0.0,,,100.0,,,87.5,,
5,,,,0.0,,,20.0,5.0,35.0,97.5,,,100.0,,
6,100.0,,,0.0,,,,,,,,,100.0,,
7,,,,,,,,,,,,,,,
8,100.0,,,,,,100.0,,,,,,100.0,,
9,100.0,,,95.0,,,,,,100.0,,,,,
10,,,,,,,100.0,,,,,,100.0,,
11,,,,,,,100.0,,,,,,100.0,,
12,,,,100.0,,,,,,100.0,,,,,
13,100.0,,,100.0,,,100.0,,,100.0,,,100.0,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,100.0,,,,,
16,,,,100.0,,,100.0,,,,,,100.0,,
